,ItinID,MktID,MktCoupons,Quarter,Origin,OriginWac,Dest,DestWac,Miles,ContiguousUSA,NumTicketsOrdered,AirlineCompany,PricePerTicket
586254,2.01811E+11,2.01811E+13,1,1,MCO,33,DCA,38,759,2,2,B6,109.5
310750,2.01814E+11,2.01814E+13,1,1,ORD,41,SFO,91,1846,2,1,UA,232.5
373705,20181633797,2.01816E+12,1,1,MIA,33,PHX,81,1972,2,1,AA,504
716348,2.01812E+11,2.01812E+13,1,1,DEN,82,SLC,87,391,2,5,DL,85
454774,2.01811E+11,2.01811E+13,1,1,SEA,93,MCI,64,1489,2,5,AS,134
824711,2.01814E+11,2.01814E+13,1,1,CLE,44,MCO,33,895,2,2,WN,137.5
829188,2.01814E+11,2.01814E+13,1,1,CMH,44,BWI,35,337,2,1,WN,235
231914,2.01814E+11,2.01814E+13,1,1,IAH,74,PHL,23,1325,2,2,UA,787
391416,20181693340,2.01817E+12,1,1,DCA,38,ORD,41,612,2,1,AA,158.5
568120,2.01811E+11,2.01811E+13,1,1,BOS,13,RSW,33,1249,2,2,B6,548
687409,2.01812E+11,2.01812E+13,1,1,SAN,91,ATL,34,1892,2,1,DL,270.5
26181,20181804313,2.01818E+12,1,1,MCO,33,PHX,81,1849,2,1,AA,382.5
14098,20181787583,2.01818E+12,1,1,PHL,23,TPA,33,920,2,2,AA,154
232716,2.01814E+11,2.01814E+13,1,1,PHX,81,IAH,74,1009,2,2,UA,407
409428,20181717972,2.01817E+12,1,1,SFO,91,ORD,41,1846,2,1,AA,107.84
543049,2.01811E+11,2.01811E+13,1,1,PBI,33,BDL,11,1133,2,7,B6,203
205766,2.01812E+11,2.01812E+13,1,1,MSP,63,SFO,91,1589,2,9,DL,286.5
521442,2.01811E+11,2.01811E+13,1,1,SMF,91,SEA,93,605,2,11,AS,67.5
955161,2.01814E+11,2.01814E+13,1,1,LAS,85,ABQ,86,486,2,8,WN,170.5
937200,2.01814E+11,2.01814E+13,1,1,HOU,74,SMF,91,1624,2,1,WN,167
401308,20181705438,2.01817E+12,1,1,LGA,22,ORD,41,733,2,1,AA,176
578087,2.01811E+11,2.01811E+13,1,1,MCO,33,BUF,22,1011,2,1,B6,197
60276,20181921594,2.01819E+12,1,1,SFO,91,ORD,41,1846,2,1,AA,327
138627,2.01812E+11,2.01812E+13,1,1,LGA,22,FLL,33,1076,2,7,DL,390
100426,2.01812E+11,2.01812E+13,1,1,PHX,81,JFK,22,2153,2,1,DL,644.5
608634,2.01811E+11,2.01811E+13,1,1,SWF,22,FLL,33,1118,2,2,B6,154.5
19005,20181795593,2.01818E+12,1,1,PHX,81,DFW,74,868,2,1,AA,275.86
21949,20181799978,2.01818E+12,1,1,PHX,81,HNL,2,2917,1,1,AA,421.38
55363,20181908681,2.01819E+12,1,1,SEA,93,PHX,81,1107,2,7,AA,317
